nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,Soft wheat,,19,9,7,t (RH 15%),corpen,15.82,0.85,soft wheat,ca,t,1.51,0.52,0.24,0.00544,0.0099,1,COP,0.499,annual crop,no,0,0.9,0
,Soya,56.5,56.5,14,17,t (RH 16%),bilan minéraux IE,20.18,0.84,soya,ca,t,0.93,1.35,0.19,0.0088,0.0088,1,COP,0.87,annual crop,no,1,0.8,0
,Spelt,,19,9,70,t (RH 15%),idem blé,14.6,0.85,spelt,ca,t,1.51,0.52,0.24,0.00544,0.0099,1,COP,0,annual crop,yes,0,0.8,0
,Spinach,,5,1.5,3,t,corpen,1,0.1,spinach,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Spring field bean ,35.5,35.5,12,13,t (RH 14%),bilan minéraux IE,15.99,0.86,field bean ,ca,t,1.13,0.85,0.19,0.011475,0.0088,1,COP,0,annual crop,no,1,0.8,0
,Strawberry,,1.1,0.6,1.8,t,bilan minéraux IE,1.53,0.1,strawberry,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Sugar beet,,3.1,1,2.5,t,bilan minéraux IE,3.89,0.232,beet,ca,t,0.1,1.06,0.2,0.019,0.014,1,indus,6.827,annual crop,no,0,0.8,0
,Sunflower,,19,13,8,t (RH 11%),CA31,26.13,0.89,sunflower,ca,t,2,0,0.22,0.0165,0.0165,1,COP,0.771359,annual crop,no,0,0.8,0
,Swedish turnip ,,1.6,0.9,4.2,t,idem navet potager,1.4,0.15,swedish turnip ,ca,t,0,0,0,0.019,0,1,legu,0,annual crop,no,0,0.8,0
,Sweet sorghum silage,,15,5.9,20,t,,17.8,1,sorghum,ca,tDMFG,0.3,0,0.2,0.006,0.014,1,FG,0,annual crop,no,0,0.8,0
,Swiss chard ,,2,1.1,6.2,t,Anstett (FAB PACA) + données internet cédric,0.9,0.08,chard,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Tomato cultivated under greenhouse,,2.6,0.9,6.1,t,Lefevre 74 (FAB PACA),0.77,0.1,tomato,ca,t,0.0631,0,0.1,0.0268,0.0268,1,legu,1.28,annual crop,no,0,0.8,0
,Triticale,,19,9,6,t (RH 15%),corpen,16.22,0.85,triticale,ca,t,1.09,0.88,0.22,0.00391,0.0099,1,COP,0.576,annual crop,yes,0,0.8,0
,Turnip,,1.555555556,0.888888889,4.222222222,t,Chaux et Foury,1,0.15,turnip ,ca,t,0,0,0.2,0.015,0.012,1,legu,0,annual crop,no,0,0.8,0
,Vetch,32.5,32.5,8,11,t (RH 14%),idem pois,15.7,0.89,vetch,ca,t,1.13,0.85,0.19,0.01161,0.0088,1,COP,0,annual crop,yes,1,0.8,0
,Watermelon ,,1.3,0.9,2.2,t,CTIFL (FAB PACA) + Données internet cédric,1.3,0.08,watermelon ,ca,t,0.0559,0,0.2,0.0191,0.0191,1,legu,0,annual crop,no,0,0.8,0
,Winter field bean ,32.9,32.9,12,13,t (RH 14%),bilan minéraux IE,15.99,0.86,field bean ,ca,t,1.13,0.85,0.19,0.011475,0.0088,1,COP,0,annual crop,yes,1,0.8,0
,Zucchini ,,2,0.7,4.8,t,Données internet - cédric + FAB PACA,0.7,0.05,zucchini ,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
,Sweet maize,,4.3,,,t,diaterre,,0.28,maize,ca,t,1.03,0.61,0.22,0.0007,0.0008,1,indus,0.8963,annual crop,no,0,0.8,0
